timestamp,sender,receiver,sender_x,sender_y,sender_z,receiver_x,receiver_y,receiver_z,distance,RSSI,SNR,LOS,building_obstacles,terrain_blocked,packet_status,drop_reason,latency_ms,packet_id,source,destination,hop_count,TTL
1788859677.161,1,2,-15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,395.644,4677ceac-4055-4547-83e4-2a1f98dfa8fd,1,2,0,3
1788859677.161,1,3,-15.000,-0.000,-0.013,15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,399.608,c0ff5a06-7ba7-4eb6-bfb7-f8f5b2023005,1,3,0,3
1788859677.161,2,1,-0.000,-0.000,-0.013,-15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,408.678,e103a441-029f-41c3-b945-82f2196e32d7,2,1,0,3
1788859677.162,2,3,-0.000,-0.000,-0.013,15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,396.883,7f4440ee-8f76-4c21-8be6-16cbcd953826,2,3,0,3
1788859677.162,3,1,15.000,-0.000,-0.013,-15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,395.740,37904f7e-fffa-4b4d-af58-58cb7c36b5fb,3,1,0,3
1788859677.162,3,2,15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,405.251,b754f979-f498-4c08-9712-0f46841a4ec2,3,2,0,3
1788859678.263,1,2,-15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,399.121,a8b3e27b-aec2-4f5d-b02e-b944787775e4,1,2,0,3
1788859678.263,1,3,-15.000,-0.000,-0.013,15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,406.043,3721483e-7af1-47b1-8b41-e748a2eb68e6,1,3,0,3
1788859678.263,2,1,-0.000,-0.000,-0.013,-15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,406.929,1d41c314-73f1-4910-a0e6-b9f812634bfd,2,1,0,3
1788859678.263,2,3,-0.000,-0.000,-0.013,15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,395.274,52cb8081-dfb6-48a4-b9b9-3c9fcee7e1e2,2,3,0,3
1788859678.264,3,1,15.000,-0.000,-0.013,-15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,409.107,09a06f3b-703c-441d-b9df-c5e06226323e,3,1,0,3
1788859678.264,3,2,15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,398.254,d0a36cc7-8d34-4d72-b799-e9a01b817bbb,3,2,0,3
1788859679.362,1,2,-15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,dropped,channel_loss,401.876,78ad8d6b-7e12-413f-9e30-c86303b63c5e,1,2,0,3
1788859679.362,1,3,-15.000,-0.000,-0.013,15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,397.078,78ad8d6b-7e12-413f-9e30-c86303b63c5e,1,2,1,2
1788859679.362,3,2,15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,407.219,78ad8d6b-7e12-413f-9e30-c86303b63c5e,1,2,2,1
1788859679.363,1,3,-15.000,-0.000,-0.013,15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,409.739,c8e91790-2a3a-4810-803d-400402eb10ae,1,3,0,3
1788859679.363,2,1,-0.000,-0.000,-0.013,-15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,414.606,dfc3a7f8-8d30-4748-8397-e569b89bb236,2,1,0,3
1788859679.363,2,3,-0.000,-0.000,-0.013,15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,406.185,b5c3a796-2811-4ceb-8233-6e1f103e6ed8,2,3,0,3
1788859679.363,3,1,15.000,-0.000,-0.013,-15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,407.514,94a39e58-f816-47ff-89ed-11fe0b80d5f3,3,1,0,3
1788859679.363,3,2,15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,406.691,1ab5f6e4-7ccc-4017-a617-495eb9e14bed,3,2,0,3
1788859680.388,1,2,-14.991,0.005,-0.054,-0.003,-0.006,0.007,14.988,-39.308,80.692,1,,0,received,,396.061,13e6fbc3-a687-44cc-9e87-6adcb79b830b,1,2,0,3
1788859680.388,1,3,-14.991,0.005,-0.054,14.970,0.005,0.051,29.960,-46.377,73.623,1,,0,received,,400.932,096c3aaa-29a8-4f42-b992-8c2cb30075c0,1,3,0,3
1788859680.388,2,1,-0.003,-0.006,0.007,-14.991,0.005,-0.054,14.988,-39.308,80.692,1,,0,received,,399.800,b169db56-bb73-45a7-8945-e6abc90a192d,2,1,0,3
1788859680.389,2,3,-0.003,-0.006,0.007,14.970,0.005,0.051,14.973,-39.298,80.702,1,,0,received,,400.704,7f7839a4-11f8-4532-bd6a-b8798979b89f,2,3,0,3
1788859680.389,3,1,14.970,0.005,0.051,-14.991,0.005,-0.054,29.960,-46.377,73.623,1,,0,received,,402.441,37df473d-e9bd-435d-ab18-6ba6cf353f58,3,1,0,3
1788859680.389,3,2,14.970,0.005,0.051,-0.003,-0.006,0.007,14.973,-39.298,80.702,1,,0,received,,399.334,17622910-5a59-49b3-9595-8f11510b19f7,3,2,0,3
1788859681.415,1,2,-14.991,0.005,-0.052,-0.011,-0.006,-0.047,14.980,-39.303,80.697,1,,0,received,,413.877,d546e6a3-4d7a-4561-a8a4-c737167052c7,1,2,0,3
1788859681.416,1,3,-14.991,0.005,-0.052,14.962,0.005,0.062,29.953,-46.375,73.625,1,,0,received,,407.327,0ef6de72-cfff-4cd5-b961-6f03ca99199d,1,3,0,3
1788859681.416,2,1,-0.011,-0.006,-0.047,-14.991,0.005,-0.052,14.980,-39.303,80.697,1,,0,received,,409.727,a4efccff-8099-4305-8811-9bb76f24e42a,2,1,0,3
1788859681.416,2,3,-0.011,-0.006,-0.047,14.962,0.005,0.062,14.973,-39.298,80.702,1,,0,received,,402.733,7633e743-68bf-4466-a1d0-7ccce6e19240,2,3,0,3
1788859681.416,3,1,14.962,0.005,0.062,-14.991,0.005,-0.052,29.953,-46.375,73.625,1,,0,dropped,channel_loss,407.944,3cbef4d5-aaf6-4e3a-b3db-c4f15047e7a6,3,1,0,3
1788859681.416,3,2,14.962,0.005,0.062,-0.011,-0.006,-0.047,14.973,-39.298,80.702,1,,0,received,,408.836,3cbef4d5-aaf6-4e3a-b3db-c4f15047e7a6,3,1,1,2
1788859681.417,2,1,-0.011,-0.006,-0.047,-14.991,0.005,-0.052,14.980,-39.303,80.697,1,,0,received,,410.664,3cbef4d5-aaf6-4e3a-b3db-c4f15047e7a6,3,1,2,1
1788859681.417,3,2,14.962,0.005,0.062,-0.011,-0.006,-0.047,14.973,-39.298,80.702,1,,0,received,,395.786,2c028e58-2aba-40b8-a2b9-2715c77e93e3,3,2,0,3
1788859682.452,1,2,-14.983,0.005,-0.052,-0.003,-0.006,0.001,14.980,-39.303,80.697,1,,0,received,,400.499,9954d24c-bfc1-49a0-8678-b490f5c29203,1,2,0,3
1788859682.452,1,3,-14.983,0.005,-0.052,14.962,-0.029,0.070,29.945,-46.372,73.628,1,,0,received,,414.002,35df8c5f-51e8-46e1-8e71-ca2face7e92f,1,3,0,3
1788859682.452,2,1,-0.003,-0.006,0.001,-14.983,0.005,-0.052,14.980,-39.303,80.697,1,,0,received,,401.438,c84fd1ad-0f9a-41ce-a7a2-6c49129e630e,2,1,0,3
1788859682.452,2,3,-0.003,-0.006,0.001,14.962,-0.029,0.070,14.965,-39.293,80.707,1,,0,received,,403.057,78a2f785-a7a5-486e-840f-068969b7908c,2,3,0,3
1788859682.453,3,1,14.962,-0.029,0.070,-14.983,0.005,-0.052,29.945,-46.372,73.628,1,,0,received,,404.321,91fd7ff6-0b9c-48c8-a142-a285f5486c74,3,1,0,3
1788859682.453,3,2,14.962,-0.029,0.070,-0.003,-0.006,0.001,14.965,-39.293,80.707,1,,0,received,,400.077,3e163255-c591-4263-8c4c-82f1bbf79ca7,3,2,0,3
1788859683.469,1,2,-14.983,0.005,-0.050,-0.003,0.005,-0.056,14.980,-39.303,80.697,1,,0,received,,400.399,94580937-a864-4c04-b73a-dbcb3df0c98d,1,2,0,3
1788859683.469,1,3,-14.983,0.005,-0.050,14.962,-0.029,0.074,29.945,-46.372,73.628,1,,0,received,,413.101,07a470c6-e0a0-42dc-96a8-a21a5fa89004,1,3,0,3
1788859683.470,2,1,-0.003,0.005,-0.056,-14.983,0.005,-0.050,14.980,-39.303,80.697,1,,0,received,,399.530,dce802f4-1eac-4646-b8e3-554bf878088f,2,1,0,3
1788859683.470,2,3,-0.003,0.005,-0.056,14.962,-0.029,0.074,14.966,-39.293,80.707,1,,0,dropped,channel_loss,405.335,a14d75ae-7af5-495a-9ca1-76bcffb0c21d,2,3,0,3
1788859683.470,2,1,-0.003,0.005,-0.056,-14.983,0.005,-0.050,14.980,-39.303,80.697,1,,0,received,,396.086,a14d75ae-7af5-495a-9ca1-76bcffb0c21d,2,3,1,2
1788859683.471,1,3,-14.983,0.005,-0.050,14.962,-0.029,0.074,29.945,-46.372,73.628,1,,0,received,,407.693,a14d75ae-7af5-495a-9ca1-76bcffb0c21d,2,3,2,1
1788859683.471,3,1,14.962,-0.029,0.074,-14.983,0.005,-0.050,29.945,-46.372,73.628,1,,0,received,,403.587,a6c71092-0620-4661-b6b1-e862fb0907a0,3,1,0,3
1788859683.472,3,2,14.962,-0.029,0.074,-0.003,0.005,-0.056,14.966,-39.293,80.707,1,,0,received,,402.776,781f46fe-59c6-4e01-9361-fb0490f984d3,3,2,0,3
1788859684.506,1,2,-14.983,0.005,-0.052,-0.003,0.005,-0.001,14.980,-39.303,80.697,1,,0,dropped,channel_loss,405.726,c003c4fb-a11c-48ed-a218-bf3d755d2be5,1,2,0,3
1788859684.506,1,3,-14.983,0.005,-0.052,14.962,-0.018,0.011,29.945,-46.372,73.628,1,,0,dropped,channel_loss,412.360,c003c4fb-a11c-48ed-a218-bf3d755d2be5,1,2,1,2
1788859684.507,1,3,-14.983,0.005,-0.052,14.962,-0.018,0.011,29.945,-46.372,73.628,1,,0,received,,409.559,eaa29a83-9fd7-4634-aeae-1ea292c21b86,1,3,0,3
1788859684.507,2,1,-0.003,0.005,-0.001,-14.983,0.005,-0.052,14.980,-39.303,80.697,1,,0,received,,405.883,e5ed31f9-5821-444c-b1d6-3dae8330d75d,2,1,0,3
1788859684.508,2,3,-0.003,0.005,-0.001,14.962,-0.018,0.011,14.965,-39.293,80.707,1,,0,received,,407.963,61b7086d-7d6e-4c33-b7d0-7075685ec631,2,3,0,3
1788859684.508,3,1,14.962,-0.018,0.011,-14.983,0.005,-0.052,29.945,-46.372,73.628,1,,0,received,,403.839,ee3ca5d7-890f-42d9-b880-4dfae394728a,3,1,0,3
1788859684.508,3,2,14.962,-0.018,0.011,-0.003,0.005,-0.001,14.965,-39.293,80.707,1,,0,received,,414.220,216c7ab1-62ca-4766-9f53-1096f92c7c2a,3,2,0,3
1788859685.548,1,2,-14.983,-0.006,-0.051,-0.003,-0.018,0.010,14.980,-39.303,80.697,1,,0,received,,400.412,b84ffa0d-1381-4345-9282-a9bf4097fc33,1,2,0,3
1788859685.549,1,3,-14.983,-0.006,-0.051,14.970,-0.018,0.055,29.953,-46.375,73.625,1,,0,received,,398.717,7164b235-bfc0-4c92-88fa-4cc01952924d,1,3,0,3
1788859685.549,2,1,-0.003,-0.018,0.010,-14.983,-0.006,-0.051,14.980,-39.303,80.697,1,,0,received,,412.554,676ab815-149a-4490-8434-381af8a133fc,2,1,0,3
1788859685.549,2,3,-0.003,-0.018,0.010,14.970,-0.018,0.055,14.973,-39.298,80.702,1,,0,received,,407.923,b480416c-5279-4dbc-91fa-5dea37087c5e,2,3,0,3
1788859685.549,3,1,14.970,-0.018,0.055,-14.983,-0.006,-0.051,29.953,-46.375,73.625,1,,0,received,,398.201,9cd24a24-5de5-4764-86ee-20a95a400d9f,3,1,0,3
1788859685.549,3,2,14.970,-0.018,0.055,-0.003,-0.018,0.010,14.973,-39.298,80.702,1,,0,received,,405.932,c4ab46a1-a313-4323-bc1b-6975cec303b4,3,2,0,3
1788859686.587,1,2,-14.983,-0.018,-0.049,-0.003,-0.018,-0.035,14.980,-39.303,80.697,1,,0,received,,405.751,375e7c23-ef2e-43c3-bdb4-6ce256f55b84,1,2,0,3
1788859686.587,1,3,-14.983,-0.018,-0.049,14.985,-0.029,0.039,29.968,-46.380,73.620,1,,0,received,,401.627,0b80953c-7b2e-42a4-95b3-8ec4500c738d,1,3,0,3
1788859686.587,2,1,-0.003,-0.018,-0.035,-14.983,-0.018,-0.049,14.980,-39.303,80.697,1,,0,received,,413.726,346074ba-50eb-4975-a246-3c9617c02617,2,1,0,3
1788859686.587,2,3,-0.003,-0.018,-0.035,14.985,-0.029,0.039,14.988,-39.308,80.692,1,,0,received,,411.777,3aeb99c3-9360-464a-ba3d-591774c2b416,2,3,0,3
1788859686.588,3,1,14.985,-0.029,0.039,-14.983,-0.018,-0.049,29.968,-46.380,73.620,1,,0,received,,396.303,b9dd4bf3-fd20-420e-89a3-26757c9dd908,3,1,0,3
1788859686.588,3,2,14.985,-0.029,0.039,-0.003,-0.018,-0.035,14.988,-39.308,80.692,1,,0,received,,414.083,638abc0c-3cd1-40e9-b662-6434cd0b40f3,3,2,0,3
1788859687.628,1,2,-14.983,-0.006,-0.046,-0.011,-0.029,-0.038,14.973,-39.298,80.702,1,,0,received,,404.864,90fc7175-4a12-499d-b05c-fd61f92f8f9e,1,2,0,3
1788859687.628,1,3,-14.983,-0.006,-0.046,14.992,-0.029,0.031,29.975,-46.382,73.618,1,,0,received,,410.356,60ee8d89-2326-44e5-b995-92f8870a5883,1,3,0,3
1788859687.629,2,1,-0.011,-0.029,-0.038,-14.983,-0.006,-0.046,14.973,-39.298,80.702,1,,0,received,,397.712,051d0f32-1dbd-47df-b701-928427e7cbf1,2,1,0,3
1788859687.629,2,3,-0.011,-0.029,-0.038,14.992,-0.029,0.031,15.003,-39.318,80.682,1,,0,received,,406.140,290a8d6a-3a0b-4244-81a0-fcaaf346ff47,2,3,0,3
1788859687.629,3,1,14.992,-0.029,0.031,-14.983,-0.006,-0.046,29.975,-46.382,73.618,1,,0,received,,412.593,0d136969-5272-4b83-8480-c0853219ed54,3,1,0,3
1788859687.629,3,2,14.992,-0.029,0.031,-0.011,-0.029,-0.038,15.003,-39.318,80.682,1,,0,received,,399.380,212331ce-fe8c-487f-83e7-4a6223b89227,3,2,0,3
1788859688.676,1,2,-14.983,-0.006,-0.051,-0.003,-0.029,-0.043,14.980,-39.303,80.697,1,,0,received,,409.743,1b9904da-5f1d-44ce-ae30-e3fa325287ae,1,2,0,3
1788859688.676,1,3,-14.983,-0.006,-0.051,14.985,-0.029,-0.028,29.968,-46.380,73.620,1,,0,received,,401.378,0d0625c9-d26c-4e4f-9c50-17bcd0496be9,1,3,0,3
1788859688.677,2,1,-0.003,-0.029,-0.043,-14.983,-0.006,-0.051,14.980,-39.303,80.697,1,,0,dropped,channel_loss,408.142,f90bf9d0-9348-44dd-b4f7-d6791b136243,2,1,0,3
