time,target_id,x,y,z,yaw
1788859677.633,target_1,-980.000,-520.000,0.750,0.359
1788859678.743,target_1,-971.684,-516.882,0.750,0.359
1788859679.843,target_1,-963.446,-513.792,0.750,0.359
1788859680.964,target_1,-955.047,-510.643,0.750,0.359
1788859682.079,target_1,-946.701,-507.513,0.750,0.359
1788859683.172,target_1,-938.512,-504.442,0.750,0.359
1788859684.340,target_1,-929.760,-501.160,0.750,0.359
1788859685.422,target_1,-921.659,-498.122,0.750,0.359
1788859686.459,target_1,-913.890,-495.209,0.750,0.359
1788859687.496,target_1,-906.120,-492.295,0.750,0.359
1788859688.562,target_1,-898.136,-489.301,0.750,0.359
1788859689.622,target_1,-890.195,-486.323,0.750,0.359
1788859690.690,target_1,-882.197,-483.324,0.750,0.359
1788859691.717,target_1,-874.502,-480.438,0.750,0.359
1788859692.775,target_1,-866.578,-477.467,0.750,0.359
1788859693.824,target_1,-858.716,-474.519,0.750,0.359
1788859694.887,target_1,-850.759,-471.534,0.750,0.359
1788859695.928,target_1,-842.962,-468.611,0.750,0.359
1788859696.961,target_1,-835.222,-465.708,0.750,0.359
1788859698.012,target_1,-827.350,-462.756,0.750,0.359
1788859699.069,target_1,-819.430,-459.786,0.750,0.359
1788859700.097,target_1,-811.732,-456.899,0.750,0.359
1788859701.113,target_1,-804.123,-454.046,0.750,0.359
1788859702.120,target_1,-796.576,-451.216,0.750,0.359
1788859703.149,target_1,-788.869,-448.326,0.750,0.359
1788859704.191,target_1,-781.066,-445.400,0.750,0.359
1788859705.205,target_1,-773.470,-442.551,0.750,0.359
1788859706.216,target_1,-765.893,-439.710,0.750,0.359
1788859707.419,target_1,-756.883,-436.331,0.750,0.359
1788859708.473,target_1,-748.991,-433.371,0.750,0.359
1788859709.508,target_1,-741.237,-430.464,0.750,0.359
1788859710.548,target_1,-733.161,-428.513,0.750,0.214
1788859711.573,target_1,-725.145,-426.771,0.750,0.214
1788859712.576,target_1,-717.308,-425.067,0.750,0.214
1788859713.644,target_1,-708.956,-423.251,0.750,0.214
1788859714.688,target_1,-700.796,-421.477,0.750,0.214
1788859715.751,target_1,-692.489,-419.671,0.750,0.214
1788859716.839,target_1,-683.981,-417.822,0.750,0.214
1788859717.957,target_1,-675.241,-415.922,0.750,0.214
1788859719.147,target_1,-665.936,-413.899,0.750,0.214
1788859720.296,target_1,-656.954,-411.947,0.750,0.214
1788859721.410,target_1,-648.249,-410.054,0.750,0.214
1788859722.455,target_1,-640.078,-408.278,0.750,0.214
1788859723.563,target_1,-631.413,-406.394,0.750,0.214
1788859724.627,target_1,-623.096,-404.586,0.750,0.214
1788859725.641,target_1,-615.175,-402.864,0.750,0.214
1788859726.683,target_1,-607.027,-401.093,0.750,0.214
1788859727.712,target_1,-598.980,-399.343,0.750,0.214
1788859728.758,target_1,-590.808,-397.567,0.750,0.214
1788859729.785,target_1,-582.777,-395.821,0.750,0.214
1788859730.801,target_1,-574.835,-394.094,0.750,0.214
1788859731.831,target_1,-566.783,-392.344,0.750,0.214
1788859732.861,target_1,-558.734,-390.594,0.750,0.214
1788859733.915,target_1,-550.493,-388.803,0.750,0.214
1788859734.987,target_1,-542.112,-386.981,0.750,0.214
1788859736.385,target_1,-531.178,-384.604,0.750,0.214
1788859737.611,target_1,-521.596,-382.521,0.750,0.214
1788859738.788,target_1,-512.400,-380.522,0.750,0.214
1788859739.963,target_1,-503.783,-376.891,0.750,0.464
1788859741.051,target_1,-496.000,-373.000,0.750,0.464
1788859742.131,target_1,-488.276,-369.138,0.750,0.464
1788859743.217,target_1,-480.504,-365.252,0.750,0.464
1788859744.288,target_1,-472.838,-361.419,0.750,0.464
1788859745.324,target_1,-465.423,-357.711,0.750,0.464
1788859746.353,target_1,-458.060,-354.030,0.750,0.464
1788859747.414,target_1,-450.470,-350.235,0.750,0.464
1788859748.474,target_1,-442.886,-346.443,0.750,0.464
1788859749.539,target_1,-435.269,-342.634,0.750,0.464
1788859750.566,target_1,-427.914,-338.957,0.750,0.464
1788859751.604,target_1,-420.488,-335.244,0.750,0.464
1788859752.642,target_1,-413.059,-331.530,0.750,0.464
1788859753.813,target_1,-404.684,-327.342,0.750,0.464
1788859754.881,target_1,-397.044,-323.522,0.750,0.464
1788859755.968,target_1,-389.267,-319.633,0.750,0.464
1788859757.051,target_1,-381.517,-315.758,0.750,0.464
1788859758.202,target_1,-373.278,-311.639,0.750,0.464
1788859759.355,target_1,-365.029,-307.515,0.750,0.464
1788859760.536,target_1,-356.579,-303.289,0.750,0.464
1788859761.616,target_1,-348.852,-299.426,0.750,0.464
1788859762.695,target_1,-341.127,-295.563,0.750,0.464
1788859763.801,target_1,-333.218,-291.609,0.750,0.464
1788859764.860,target_1,-325.640,-287.820,0.750,0.464
1788859765.898,target_1,-318.214,-284.107,0.750,0.464
1788859766.940,target_1,-310.755,-280.378,0.750,0.464
