time,source,destination,rssi_dbm,snr_db,packet_received,pdr,latency_ms,drop_reason,condition
1788859690.716,1,2,-39.298,80.702,1,1.000,404.485,,NORMAL
1788859690.716,1,3,-46.367,73.633,1,1.000,408.611,,NORMAL
1788859690.716,2,1,-39.298,80.702,0,0.667,397.112,channel_loss,DEGRADED
1788859690.716,2,3,-39.288,80.712,1,1.000,401.930,,NORMAL
1788859690.716,3,1,-46.367,73.633,1,0.833,400.117,,DEGRADED
1788859690.717,2,3,-39.288,80.712,1,1.000,404.116,,NORMAL
1788859690.717,3,1,-46.367,73.633,1,0.833,400.715,,DEGRADED
1788859690.717,3,2,-39.288,80.712,1,1.000,413.609,,NORMAL
1788859691.759,1,2,-39.298,80.702,1,1.000,412.371,,NORMAL
1788859691.759,1,3,-46.364,73.636,1,1.000,396.156,,NORMAL
1788859691.759,2,1,-39.298,80.702,0,0.400,411.865,channel_loss,DEGRADED
1788859691.759,2,3,-39.282,80.718,0,0.833,413.671,channel_loss,DEGRADED
1788859691.759,2,3,-39.282,80.718,1,0.857,398.470,,NORMAL
1788859691.759,3,1,-46.364,73.636,1,0.833,399.419,,DEGRADED
1788859691.760,3,2,-39.282,80.718,1,1.000,396.317,,NORMAL
1788859692.808,1,2,-39.303,80.697,1,1.000,414.850,,NORMAL
1788859692.809,1,3,-46.364,73.636,1,1.000,410.826,,NORMAL
1788859692.809,2,1,-39.303,80.697,1,0.600,403.604,,DEGRADED
1788859692.810,2,3,-39.277,80.723,0,0.714,415.053,channel_loss,DEGRADED
1788859692.810,2,1,-39.303,80.697,1,0.667,409.512,,DEGRADED
1788859692.810,1,3,-46.364,73.636,1,1.000,401.078,,NORMAL
1788859692.810,3,1,-46.364,73.636,0,0.600,406.728,channel_loss,DEGRADED
1788859692.810,3,2,-39.277,80.723,1,1.000,410.104,,NORMAL
1788859692.811,2,1,-39.303,80.697,1,0.714,406.828,,DEGRADED
1788859692.811,3,2,-39.277,80.723,1,1.000,412.198,,NORMAL
1788859693.842,1,2,-39.303,80.697,1,1.000,414.360,,NORMAL
1788859693.842,1,3,-46.364,73.636,1,1.000,398.861,,NORMAL
1788859693.842,2,1,-39.303,80.697,1,0.714,408.648,,DEGRADED
1788859693.843,2,3,-39.277,80.723,1,0.667,397.542,,DEGRADED
1788859693.843,3,1,-46.364,73.636,1,0.800,400.068,,DEGRADED
1788859693.843,3,2,-39.277,80.723,1,1.000,407.532,,NORMAL
1788859694.889,1,2,-39.303,80.697,1,1.000,406.817,,NORMAL
1788859694.889,1,3,-46.364,73.636,1,1.000,413.838,,NORMAL
1788859694.890,2,1,-39.303,80.697,1,0.833,409.468,,DEGRADED
1788859694.890,2,3,-39.277,80.723,1,0.667,403.060,,DEGRADED
1788859694.890,3,1,-46.364,73.636,1,0.800,401.144,,DEGRADED
1788859694.890,3,2,-39.277,80.723,1,1.000,410.181,,NORMAL
1788859695.927,1,2,-39.293,80.707,1,1.000,404.310,,NORMAL
1788859695.927,1,3,-46.362,73.638,0,0.833,415.066,channel_loss,DEGRADED
1788859695.927,1,2,-39.293,80.707,1,1.000,399.407,,NORMAL
1788859695.927,2,3,-39.282,80.718,1,0.667,413.809,,DEGRADED
1788859695.927,2,1,-39.293,80.707,1,1.000,412.729,,NORMAL
1788859695.928,2,3,-39.282,80.718,1,0.800,398.299,,DEGRADED
1788859695.928,3,1,-46.362,73.638,1,0.750,409.215,,DEGRADED
1788859695.928,3,2,-39.282,80.718,1,1.000,414.889,,NORMAL
1788859696.960,1,2,-39.288,80.712,1,1.000,395.301,,NORMAL
1788859696.961,1,3,-46.359,73.641,1,0.800,401.132,,DEGRADED
1788859696.961,2,1,-39.288,80.712,1,1.000,413.923,,NORMAL
1788859696.961,2,3,-39.282,80.718,1,1.000,397.453,,NORMAL
1788859696.961,3,1,-46.359,73.641,1,0.800,406.209,,DEGRADED
1788859696.962,3,2,-39.282,80.718,1,1.000,407.241,,NORMAL
1788859697.990,1,2,-39.288,80.712,1,1.000,399.216,,NORMAL
1788859697.990,1,3,-46.357,73.643,1,0.800,400.424,,DEGRADED
1788859697.990,2,1,-39.288,80.712,1,1.000,413.251,,NORMAL
1788859697.990,2,3,-39.277,80.723,1,1.000,396.990,,NORMAL
1788859697.990,3,1,-46.357,73.643,1,1.000,400.678,,NORMAL
1788859697.991,3,2,-39.277,80.723,1,1.000,410.566,,NORMAL
1788859699.021,1,2,-39.288,80.712,1,1.000,400.383,,NORMAL
1788859699.021,1,3,-46.359,73.641,1,0.800,406.178,,DEGRADED
1788859699.021,2,1,-39.288,80.712,1,1.000,395.337,,NORMAL
1788859699.021,2,3,-39.283,80.717,1,1.000,412.806,,NORMAL
1788859699.022,3,1,-46.359,73.641,1,1.000,406.056,,NORMAL
1788859699.022,3,2,-39.283,80.717,1,1.000,406.794,,NORMAL
1788859700.054,1,2,-39.282,80.718,1,1.000,397.693,,NORMAL
1788859700.054,1,3,-46.359,73.641,1,0.800,413.124,,DEGRADED
1788859700.055,2,1,-39.282,80.718,1,1.000,412.358,,NORMAL
1788859700.055,2,3,-39.288,80.712,1,1.000,399.346,,NORMAL
1788859700.055,3,1,-46.359,73.641,1,1.000,397.200,,NORMAL
1788859700.055,3,2,-39.288,80.712,1,1.000,412.827,,NORMAL
1788859701.064,1,2,-39.288,80.712,1,1.000,407.557,,NORMAL
1788859701.065,1,3,-46.362,73.638,1,1.000,413.742,,NORMAL
1788859701.065,2,1,-39.288,80.712,1,1.000,414.668,,NORMAL
1788859701.065,2,3,-39.288,80.712,1,1.000,412.772,,NORMAL
1788859701.065,3,1,-46.362,73.638,1,1.000,409.875,,NORMAL
1788859701.065,3,2,-39.288,80.712,1,1.000,413.760,,NORMAL
1788859702.096,1,2,-39.293,80.707,1,1.000,412.425,,NORMAL
1788859702.097,1,3,-46.364,73.636,1,1.000,400.480,,NORMAL
1788859702.097,2,1,-39.293,80.707,1,1.000,397.306,,NORMAL
1788859702.097,2,3,-39.288,80.712,1,1.000,412.316,,NORMAL
1788859702.097,3,1,-46.364,73.636,1,1.000,411.476,,NORMAL
1788859702.097,3,2,-39.288,80.712,1,1.000,401.248,,NORMAL
1788859703.137,1,2,-39.293,80.707,1,1.000,399.696,,NORMAL
1788859703.137,1,3,-46.362,73.638,1,1.000,399.007,,NORMAL
1788859703.138,2,1,-39.293,80.707,1,1.000,412.431,,NORMAL
1788859703.138,2,3,-39.283,80.717,0,0.800,400.727,channel_loss,DEGRADED
1788859703.138,2,1,-39.293,80.707,1,1.000,403.138,,NORMAL
1788859703.138,1,3,-46.362,73.638,0,0.833,405.868,channel_loss,DEGRADED
1788859703.139,3,1,-46.362,73.638,0,0.800,397.451,channel_loss,DEGRADED
1788859703.139,3,2,-39.283,80.717,0,0.800,398.715,channel_loss,DEGRADED
1788859703.139,3,2,-39.283,80.717,0,0.667,400.453,channel_loss,DEGRADED
1788859703.139,3,1,-46.362,73.638,1,0.833,403.835,,DEGRADED
1788859703.139,1,2,-39.293,80.707,1,1.000,401.418,,NORMAL
1788859704.187,1,2,-39.293,80.707,1,1.000,405.373,,NORMAL
1788859704.188,1,3,-46.362,73.638,1,0.833,406.676,,DEGRADED
1788859704.188,2,1,-39.293,80.707,1,1.000,409.320,,NORMAL
1788859704.188,2,3,-39.283,80.717,1,0.800,413.656,,DEGRADED
1788859704.188,3,1,-46.362,73.638,1,0.833,409.533,,DEGRADED
1788859704.189,3,2,-39.283,80.717,1,0.667,408.557,,DEGRADED
1788859705.224,1,2,-39.277,80.723,1,1.000,396.544,,NORMAL
1788859705.224,1,3,-46.357,73.643,1,0.833,401.748,,DEGRADED
1788859705.224,2,1,-39.277,80.723,1,1.000,412.104,,NORMAL
1788859705.224,2,3,-39.288,80.712,1,0.800,401.150,,DEGRADED
1788859705.224,3,1,-46.357,73.643,1,0.833,403.312,,DEGRADED
1788859705.225,3,2,-39.288,80.712,1,0.667,401.057,,DEGRADED
1788859706.227,1,2,-39.277,80.723,1,1.000,403.553,,NORMAL
1788859706.227,1,3,-46.359,73.641,0,0.667,408.690,channel_loss,DEGRADED
1788859706.228,1,2,-39.277,80.723,1,1.000,407.454,,NORMAL
1788859706.229,2,3,-39.293,80.707,1,0.800,406.103,,DEGRADED
1788859706.230,2,1,-39.277,80.723,1,1.000,400.882,,NORMAL
1788859706.234,2,3,-39.293,80.707,1,0.800,406.744,,DEGRADED
1788859706.235,3,1,-46.359,73.641,1,0.800,404.444,,DEGRADED
1788859706.235,3,2,-39.293,80.707,1,0.600,399.418,,DEGRADED
1788859707.229,1,2,-39.277,80.723,1,1.000,413.168,,NORMAL
1788859707.230,1,3,-46.364,73.636,1,0.600,398.538,,DEGRADED
1788859707.230,2,1,-39.277,80.723,1,1.000,405.453,,NORMAL
1788859707.230,2,3,-39.303,80.697,1,1.000,401.848,,NORMAL
1788859707.230,3,1,-46.364,73.636,1,0.833,410.167,,DEGRADED
1788859707.230,3,2,-39.303,80.697,1,0.667,399.637,,DEGRADED
1788859708.285,1,2,-39.277,80.723,1,1.000,395.633,,NORMAL
1788859708.286,1,3,-46.367,73.633,1,0.800,404.647,,DEGRADED
1788859708.286,2,1,-39.277,80.723,1,1.000,396.601,,NORMAL
1788859708.286,2,3,-39.308,80.692,1,1.000,407.739,,NORMAL
1788859708.286,3,1,-46.367,73.633,1,1.000,409.071,,NORMAL
1788859708.286,3,2,-39.308,80.692,1,1.000,400.024,,NORMAL
1788859709.287,1,2,-39.282,80.718,1,1.000,395.255,,NORMAL
1788859709.288,1,3,-46.370,73.630,1,0.800,410.545,,DEGRADED
1788859709.288,2,1,-39.282,80.718,1,1.000,403.647,,NORMAL
1788859709.288,2,3,-39.308,80.692,1,1.000,414.303,,NORMAL
1788859709.288,3,1,-46.370,73.630,1,1.000,396.148,,NORMAL
1788859709.288,3,2,-39.308,80.692,1,1.000,412.111,,NORMAL
1788859710.296,1,2,-39.293,80.707,1,1.000,411.172,,NORMAL
1788859710.296,1,3,-46.372,73.628,1,0.800,414.902,,DEGRADED
1788859710.296,2,1,-39.293,80.707,1,1.000,414.145,,NORMAL
1788859710.296,2,3,-39.303,80.697,1,1.000,407.397,,NORMAL
1788859710.296,3,1,-46.372,73.628,1,1.000,405.240,,NORMAL
1788859710.296,3,2,-39.303,80.697,1,1.000,406.101,,NORMAL
1788859711.301,1,2,-39.298,80.702,1,1.000,410.017,,NORMAL
1788859711.301,1,3,-46.370,73.630,1,1.000,400.328,,NORMAL
1788859711.301,2,1,-39.298,80.702,1,1.000,407.897,,NORMAL
1788859711.301,2,3,-39.293,80.707,1,1.000,405.570,,NORMAL
1788859711.301,3,1,-46.370,73.630,1,1.000,400.636,,NORMAL
1788859711.301,3,2,-39.293,80.707,1,1.000,400.859,,NORMAL
1788859712.308,1,2,-39.315,80.685,1,1.000,401.538,,NORMAL
1788859712.308,1,3,-46.364,73.636,1,1.000,397.912,,NORMAL
1788859712.308,2,1,-39.315,80.685,1,1.000,409.023,,NORMAL
1788859712.308,2,3,-39.264,80.736,1,1.000,396.429,,NORMAL
1788859712.309,3,1,-46.364,73.636,1,1.000,405.996,,NORMAL
1788859712.309,3,2,-39.264,80.736,1,1.000,399.281,,NORMAL
1788859713.335,1,2,-39.316,80.684,1,1.000,413.241,,NORMAL
1788859713.335,1,3,-46.361,73.639,1,1.000,409.055,,NORMAL
1788859713.335,2,1,-39.316,80.684,1,1.000,410.456,,NORMAL
1788859713.335,2,3,-39.257,80.743,1,1.000,395.262,,NORMAL
1788859713.335,3,1,-46.361,73.639,1,1.000,410.214,,NORMAL
1788859713.335,3,2,-39.257,80.743,1,1.000,414.213,,NORMAL
1788859714.348,1,2,-39.303,80.697,1,1.000,410.094,,NORMAL
1788859714.348,1,3,-46.359,73.641,1,1.000,407.209,,NORMAL
1788859714.349,2,1,-39.303,80.697,1,1.000,399.532,,NORMAL
1788859714.349,2,3,-39.267,80.733,1,1.000,395.725,,NORMAL
1788859714.349,3,1,-46.359,73.641,1,1.000,408.727,,NORMAL
1788859714.349,3,2,-39.267,80.733,1,1.000,398.445,,NORMAL
1788859715.398,1,2,-39.297,80.703,1,1.000,397.697,,NORMAL
1788859715.398,1,3,-46.361,73.639,1,1.000,395.683,,NORMAL
1788859715.398,2,1,-39.297,80.703,1,1.000,406.432,,NORMAL
1788859715.398,2,3,-39.277,80.723,1,1.000,407.999,,NORMAL
1788859715.398,3,1,-46.361,73.639,1,1.000,404.378,,NORMAL
1788859715.399,3,2,-39.277,80.723,1,1.000,402.726,,NORMAL
1788859716.418,1,2,-39.292,80.708,1,1.000,401.681,,NORMAL
1788859716.418,1,3,-46.358,73.642,1,1.000,402.727,,NORMAL
1788859716.418,2,1,-39.292,80.708,1,1.000,411.783,,NORMAL
1788859716.418,2,3,-39.276,80.724,1,1.000,396.782,,NORMAL
1788859716.418,3,1,-46.358,73.642,1,1.000,405.932,,NORMAL
1788859716.418,3,2,-39.276,80.724,0,0.800,402.143,channel_loss,DEGRADED
1788859716.418,3,1,-46.358,73.642,1,1.000,410.769,,NORMAL
1788859716.418,1,2,-39.292,80.708,1,1.000,410.229,,NORMAL
1788859717.470,1,2,-39.293,80.707,0,0.833,399.131,channel_loss,DEGRADED
1788859717.470,1,3,-46.362,73.638,1,1.000,398.192,,NORMAL
1788859717.470,3,2,-39.284,80.716,1,0.833,408.533,,DEGRADED
1788859717.470,1,3,-46.362,73.638,1,1.000,399.503,,NORMAL
1788859717.470,2,1,-39.293,80.707,1,1.000,410.482,,NORMAL
1788859717.470,2,3,-39.284,80.716,1,1.000,407.289,,NORMAL
1788859717.470,3,1,-46.362,73.638,1,1.000,397.435,,NORMAL
1788859717.471,3,2,-39.284,80.716,1,0.833,414.438,,DEGRADED
1788859718.483,1,2,-39.296,80.704,1,0.833,395.658,,DEGRADED
1788859718.484,1,3,-46.367,73.633,1,1.000,408.691,,NORMAL
1788859718.484,2,1,-39.296,80.704,0,0.800,403.077,channel_loss,DEGRADED
1788859718.484,2,3,-39.291,80.709,1,1.000,396.664,,NORMAL
1788859718.484,3,1,-46.367,73.633,1,1.000,407.689,,NORMAL
1788859718.484,2,3,-39.291,80.709,1,1.000,410.594,,NORMAL
1788859718.484,3,1,-46.367,73.633,1,1.000,407.152,,NORMAL
1788859718.484,3,2,-39.291,80.709,1,0.800,414.821,,DEGRADED
1788859719.529,1,2,-39.304,80.696,1,0.800,402.088,,DEGRADED
1788859719.529,1,3,-46.374,73.626,1,1.000,402.556,,NORMAL
1788859719.529,2,1,-39.304,80.696,1,0.750,401.969,,DEGRADED
1788859719.529,2,3,-39.296,80.704,1,1.000,411.591,,NORMAL
1788859719.529,3,1,-46.374,73.626,1,1.000,414.360,,NORMAL
1788859719.530,3,2,-39.296,80.704,1,0.800,411.718,,DEGRADED
1788859720.565,1,2,-39.304,80.696,1,0.800,403.854,,DEGRADED
1788859720.566,1,3,-46.372,73.628,1,1.000,414.454,,NORMAL
1788859720.566,2,1,-39.304,80.696,1,0.750,411.308,,DEGRADED
1788859720.566,2,3,-39.291,80.709,1,1.000,404.814,,NORMAL
1788859720.567,3,1,-46.372,73.628,1,1.000,409.765,,NORMAL
1788859720.567,3,2,-39.291,80.709,1,1.000,412.178,,NORMAL
1788859721.578,1,2,-39.304,80.696,1,0.833,396.877,,DEGRADED
1788859721.579,1,3,-46.366,73.634,1,1.000,400.021,,NORMAL
1788859721.579,2,1,-39.304,80.696,1,0.800,407.351,,DEGRADED
1788859721.579,2,3,-39.280,80.720,1,1.000,395.718,,NORMAL
1788859721.579,3,1,-46.366,73.634,1,1.000,398.781,,NORMAL
1788859721.579,3,2,-39.280,80.720,1,1.000,411.101,,NORMAL
1788859722.623,1,2,-39.297,80.703,1,1.000,412.750,,NORMAL
1788859722.624,1,3,-46.370,73.630,1,1.000,400.669,,NORMAL
