time,uav_id,role,x,y,z,latitude,longitude,altitude,velocity,battery,mode,status,armed
1788859677.633,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859677.633,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859677.633,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859678.743,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859678.743,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859678.743,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859679.843,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859679.843,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859679.843,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859680.964,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859680.964,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859680.964,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859682.079,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859682.079,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859682.079,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859683.172,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859683.172,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859683.172,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859684.340,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859684.340,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859684.340,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859685.422,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859685.422,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859685.422,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859686.459,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859686.459,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859686.459,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859687.496,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859687.496,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859687.496,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859688.562,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859688.562,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859688.562,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859689.622,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859689.622,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859689.622,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859690.690,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859690.690,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859690.690,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859691.717,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859691.717,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859691.717,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859692.775,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859692.775,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859692.775,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859693.824,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859693.824,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859693.824,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859694.887,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859694.887,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859694.887,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859695.928,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859695.928,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859695.928,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859696.961,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859696.961,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859696.961,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859698.012,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859698.012,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859698.012,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859699.069,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859699.069,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859699.069,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859700.097,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859700.097,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859700.097,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859701.113,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859701.113,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859701.113,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859702.120,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859702.120,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859702.120,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859703.149,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859703.149,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859703.149,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859704.191,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859704.191,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859704.191,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859705.205,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859705.205,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859705.205,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859706.216,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859706.216,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859706.216,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859707.419,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859707.419,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859707.419,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859708.473,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859708.473,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859708.473,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859709.508,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859709.508,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859709.508,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859710.548,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859710.548,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859710.548,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859711.573,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859711.573,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859711.573,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859712.576,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859712.576,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859712.576,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859713.644,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859713.644,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859713.644,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859714.688,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859714.688,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859714.688,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859715.751,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859715.751,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859715.751,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859716.839,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859716.839,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859716.839,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859717.957,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859717.957,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859717.957,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859719.147,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859719.147,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859719.147,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859720.296,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859720.296,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859720.296,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859721.410,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859721.410,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859721.410,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859722.455,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859722.455,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859722.455,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859723.563,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859723.563,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859723.563,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859724.627,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859724.627,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859724.627,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859725.641,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859725.641,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859725.641,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859726.683,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859726.683,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859726.683,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859727.712,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859727.712,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859727.712,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859728.758,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859728.758,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859728.758,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859729.785,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859729.785,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859729.785,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859730.801,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859730.801,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859730.801,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859731.831,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859731.831,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859731.831,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859732.861,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859732.861,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859732.861,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859733.915,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859733.915,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859733.915,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859734.987,1,Scout,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859734.987,2,Relay,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859734.987,3,Designator,0.000,0.000,0.000,0.00000000,0.00000000,0.000,0.000,-1.0,unknown,unknown,0
1788859736.385,1,Scout,0.051,0.029,7.931,47.39797120,8.54596560,7.931,0.041,76.0,LOITER,active,1
1788859736.385,2,Relay,0.013,-0.001,12.157,47.39797080,8.54616360,12.218,0.416,77.0,TAKEOFF,active,1
1788859736.385,3,Designator,0.023,0.026,14.983,47.39797090,8.54636290,15.033,1.441,78.0,TAKEOFF,active,1
1788859737.611,1,Scout,0.048,0.026,7.940,47.39797120,8.54596550,7.940,0.038,76.0,LOITER,active,1
1788859737.611,2,Relay,0.009,-0.001,12.269,47.39797080,8.54616360,12.327,0.361,77.0,TAKEOFF,active,1
1788859737.611,3,Designator,0.023,0.021,15.355,47.39797090,8.54636280,15.405,1.271,77.0,LOITER,active,1
1788859738.788,1,Scout,0.051,0.006,7.959,47.39797120,8.54596520,7.959,0.198,75.0,LOITER,active,1
1788859738.788,2,Relay,-0.008,-0.001,12.366,47.39797070,8.54616360,12.427,0.371,77.0,TAKEOFF,active,1
1788859738.788,3,Designator,0.031,0.028,15.688,47.39797100,8.54636290,15.740,1.076,77.0,LOITER,active,1
1788859739.963,1,Scout,0.278,-0.332,8.015,47.39797320,8.54596080,8.015,1.444,75.0,LOITER,active,1
1788859739.963,2,Relay,-0.238,0.002,12.491,47.39796870,8.54616360,12.552,1.017,76.0,LOITER,active,1
1788859739.963,3,Designator,0.212,0.212,16.021,47.39797250,8.54636530,16.075,1.300,76.0,LOITER,active,1
1788859741.051,1,Scout,0.671,-1.190,8.032,47.39797680,8.54594940,8.032,2.834,75.0,LOITER,active,1
1788859741.051,2,Relay,-0.962,0.028,12.577,47.39796230,8.54616400,12.640,2.277,76.0,LOITER,active,1
1788859741.051,3,Designator,0.720,0.805,16.193,47.39797700,8.54637300,16.251,2.466,76.0,LOITER,active,1
1788859742.131,1,Scout,1.230,-2.558,8.031,47.39798180,8.54593120,8.031,4.110,75.0,LOITER,active,1
1788859742.131,2,Relay,-2.209,0.085,12.703,47.39794780,8.54616480,12.703,3.497,76.0,LOITER,active,1
1788859742.131,3,Designator,1.534,1.916,16.304,47.39798430,8.54638770,16.361,3.888,76.0,LOITER,active,1
1788859743.217,1,Scout,2.068,-4.293,8.037,47.39798930,8.54590810,8.037,5.251,73.0,LOITER,active,1
1788859743.217,2,Relay,-3.886,0.073,12.740,47.39793200,8.54616440,12.740,4.569,74.0,LOITER,active,1
1788859743.217,3,Designator,2.475,3.524,16.419,47.39799280,8.54640890,16.477,5.029,74.0,LOITER,active,1
1788859744.288,1,Scout,3.128,-6.388,8.050,47.39799890,8.54588030,8.050,6.375,72.0,LOITER,active,1
1788859744.288,2,Relay,-5.953,-0.006,12.791,47.39791260,8.54616330,12.791,5.626,74.0,LOITER,active,1
1788859744.288,3,Designator,3.457,5.561,16.540,47.39800160,8.54643590,16.597,6.122,74.0,LOITER,active,1
1788859745.324,1,Scout,4.353,-8.888,8.064,47.39800990,8.54584710,8.064,7.520,71.0,LOITER,active,1
1788859745.324,2,Relay,-8.433,-0.094,12.831,47.39788950,8.54616220,12.831,6.735,72.0,LOITER,active,1
1788859745.324,3,Designator,4.566,8.007,16.649,47.39801150,8.54646820,16.707,7.270,73.0,LOITER,active,1
1788859746.353,1,Scout,5.721,-11.810,8.077,47.39802220,8.54580830,8.077,8.684,71.0,LOITER,active,1
1788859746.353,2,Relay,-12.176,-0.152,12.798,47.39786240,8.54616160,12.861,8.136,72.0,LOITER,active,1
1788859746.353,3,Designator,6.200,11.612,16.779,47.39802620,8.54651600,16.837,8.738,73.0,LOITER,active,1
1788859747.414,1,Scout,7.711,-16.083,8.090,47.39804010,8.54575150,8.090,10.174,71.0,LOITER,active,1
1788859747.414,2,Relay,-15.629,-0.150,12.828,47.39783150,8.54616160,12.890,9.222,71.0,LOITER,active,1
1788859747.414,3,Designator,7.762,14.986,16.880,47.39804020,8.54656070,16.938,9.953,73.0,LOITER,active,1
1788859748.474,1,Scout,9.559,-19.918,8.092,47.39805670,8.54570050,8.092,11.258,70.0,LOITER,active,1
1788859748.474,2,Relay,-19.504,-0.120,12.858,47.39779680,8.54616200,12.920,10.309,71.0,LOITER,active,1
1788859748.474,3,Designator,9.533,18.788,16.959,47.39805610,8.54661110,17.017,11.106,70.0,LOITER,active,1
1788859749.539,1,Scout,11.090,-22.923,8.076,47.39807050,8.54566060,8.076,11.751,68.0,LOITER,active,1
1788859749.539,2,Relay,-23.796,-0.074,12.868,47.39775830,8.54616260,12.932,11.281,71.0,LOITER,active,1
1788859749.539,3,Designator,11.500,22.899,17.008,47.39807370,8.54666570,17.067,11.811,70.0,LOITER,active,1
1788859750.566,1,Scout,13.852,-28.011,8.041,47.39809530,8.54559300,8.041,11.663,68.0,LOITER,active,1
1788859750.566,2,Relay,-28.371,-0.023,12.852,47.39771720,8.54616330,12.916,11.738,69.0,LOITER,active,1
1788859750.566,3,Designator,13.571,27.041,17.048,47.39809240,8.54672080,17.106,11.750,70.0,LOITER,active,1
1788859751.604,1,Scout,15.990,-31.936,8.031,47.39811450,8.54554090,8.031,11.472,68.0,LOITER,active,1
1788859751.604,2,Relay,-34.024,0.015,12.852,47.39766550,8.54616380,12.916,11.381,69.0,LOITER,active,1
1788859751.604,3,Designator,16.102,32.116,17.127,47.39811510,8.54678820,17.186,11.515,70.0,LOITER,active,1
1788859752.642,1,Scout,18.566,-36.845,8.012,47.39813770,8.54547570,8.012,11.461,66.0,LOITER,active,1
1788859752.642,2,Relay,-38.245,0.026,12.867,47.39762750,8.54616400,12.930,10.396,67.0,LOITER,active,1
1788859752.642,3,Designator,18.082,36.134,17.197,47.39813300,8.54684160,17.255,11.494,68.0,LOITER,active,1
1788859753.813,1,Scout,20.628,-40.902,7.994,47.39815620,8.54542170,7.994,11.536,66.0,LOITER,active,1
1788859753.813,2,Relay,-42.860,0.018,12.865,47.39758650,8.54616390,12.929,8.778,67.0,LOITER,active,1
1788859753.813,3,Designator,20.088,40.193,17.340,47.39815540,8.54690850,17.340,11.544,67.0,LOITER,active,1
1788859754.881,1,Scout,22.693,-45.035,7.977,47.39817480,8.54536680,7.977,11.597,65.0,LOITER,active,1
1788859754.881,2,Relay,-45.224,0.018,12.862,47.39756460,8.54616390,12.925,7.907,67.0,LOITER,active,1
1788859754.881,3,Designator,22.129,44.296,17.331,47.39816930,8.54695000,17.389,11.603,67.0,LOITER,active,1
1788859755.968,1,Scout,24.742,-49.164,7.957,47.39819320,8.54531200,7.957,11.310,65.0,LOITER,active,1
1788859755.968,2,Relay,-48.763,0.055,12.868,47.39753310,8.54616430,12.931,6.543,66.0,LOITER,active,1
1788859755.968,3,Designator,24.176,48.398,17.461,47.39819210,8.54701730,17.461,11.415,66.0,LOITER,active,1
1788859757.051,1,Scout,28.951,-57.449,7.937,47.39823110,8.54520190,7.937,9.335,63.0,LOITER,active,1
1788859757.051,2,Relay,-53.090,0.070,12.891,47.39749390,8.54616460,12.954,4.366,64.0,LOITER,active,1
1788859757.051,3,Designator,28.398,56.678,17.509,47.39822580,8.54711470,17.568,9.575,65.0,LOITER,active,1
1788859758.202,1,Scout,30.191,-59.801,7.944,47.39824220,8.54517070,7.944,8.807,63.0,LOITER,active,1
1788859758.202,2,Relay,-54.673,0.087,12.911,47.39747960,8.54616470,12.973,3.531,64.0,LOITER,active,1
