timestamp,elapsed_s,drone_id,latitude,longitude,altitude_m,x_m,y_m,z_m,velocity_m_s,battery_percent,mode,status,armed,peer_positions_sent,recent_lora_packets,rssi_to_drone1_dbm,rssi_to_drone2_dbm,rssi_to_drone3_dbm,snr_to_drone1_db,snr_to_drone2_db,snr_to_drone3_db,link_status_to_drone1,link_status_to_drone2,link_status_to_drone3
1788859736.309,0.1,1,47.39797120,8.54596560,7.931,0.051,0.029,7.931,0.041,76.0,LOITER,active,1,1,0,,,,,,,,,
1788859736.309,0.1,2,47.39797080,8.54616360,12.218,0.013,-0.001,12.157,0.416,77.0,TAKEOFF,active,1,1,0,,,,,,,,,
1788859736.309,0.1,3,47.39797090,8.54636290,15.033,0.023,0.026,14.983,1.441,78.0,TAKEOFF,active,1,1,0,,,,,,,,,
1788859737.302,1.0,1,47.39797120,8.54596550,7.940,0.048,0.026,7.940,0.038,76.0,LOITER,active,1,1,6,,-39.682,-46.677,,80.318,73.323,,received,received
1788859737.302,1.0,2,47.39797080,8.54616360,12.327,0.009,-0.001,12.269,0.361,77.0,TAKEOFF,active,1,1,6,-39.682,,-39.544,80.318,,80.456,received,,received
1788859737.302,1.0,3,47.39797090,8.54636280,15.405,0.023,0.021,15.355,1.271,77.0,LOITER,active,1,1,6,-46.677,-39.544,,73.323,80.456,,received,received,
1788859738.296,2.0,1,47.39797120,8.54596520,7.959,0.051,0.006,7.959,0.198,75.0,LOITER,active,1,1,14,,-39.736,-46.716,,80.264,73.284,,received,received
1788859738.296,2.0,2,47.39797070,8.54616360,12.427,-0.008,-0.001,12.366,0.371,77.0,TAKEOFF,active,1,1,14,-39.736,,-39.563,80.264,,80.437,received,,received
1788859738.296,2.0,3,47.39797100,8.54636290,15.740,0.031,0.028,15.688,1.076,77.0,LOITER,active,1,1,14,-46.716,-39.563,,73.284,80.437,,received,dropped,
1788859739.348,3.1,1,47.39797320,8.54596080,8.015,0.278,-0.332,8.015,1.444,75.0,LOITER,active,1,1,20,,-39.894,-46.860,,80.106,73.140,,received,received
1788859739.348,3.1,2,47.39796870,8.54616360,12.552,-0.238,0.002,12.491,1.017,76.0,LOITER,active,1,1,20,-39.894,,-39.697,80.106,,80.303,received,,received
1788859739.348,3.1,3,47.39797250,8.54636530,16.075,0.212,0.212,16.021,1.300,76.0,LOITER,active,1,1,20,-46.860,-39.697,,73.140,80.303,,received,received,
1788859740.380,4.1,1,47.39797680,8.54594940,8.032,0.671,-1.190,8.032,2.834,75.0,LOITER,active,1,1,26,,-40.451,-47.311,,79.549,72.689,,received,received
1788859740.380,4.1,2,47.39796230,8.54616400,12.640,-0.962,0.028,12.577,2.277,76.0,LOITER,active,1,1,26,-40.451,,-40.130,79.549,,79.870,received,,received
1788859740.380,4.1,3,47.39797700,8.54637300,16.251,0.720,0.805,16.193,2.466,76.0,LOITER,active,1,1,26,-47.311,-40.130,,72.689,79.870,,received,received,
1788859741.407,5.2,1,47.39798180,8.54593120,8.031,1.230,-2.558,8.031,4.110,75.0,LOITER,active,1,1,34,,-41.392,-48.036,,78.608,71.964,,dropped,received
1788859741.407,5.2,2,47.39794780,8.54616480,12.703,-2.209,0.085,12.703,3.497,76.0,LOITER,active,1,1,34,-41.392,,-40.946,78.608,,79.054,received,,received
1788859741.407,5.2,3,47.39798430,8.54638770,16.361,1.534,1.916,16.304,3.888,76.0,LOITER,active,1,1,34,-48.036,-40.946,,71.964,79.054,,received,received,
1788859742.443,6.2,1,47.39798930,8.54590810,8.037,2.068,-4.293,8.037,5.251,73.0,LOITER,active,1,1,40,,-42.508,-48.915,,77.492,71.085,,received,received
1788859742.443,6.2,2,47.39793200,8.54616440,12.740,-3.886,0.073,12.740,4.569,74.0,LOITER,active,1,1,40,-42.508,,-42.166,77.492,,77.834,received,,received
1788859742.443,6.2,3,47.39799280,8.54640890,16.477,2.475,3.524,16.419,5.029,74.0,LOITER,active,1,1,40,-48.915,-42.166,,71.085,77.834,,received,received,
1788859743.492,7.2,1,47.39799890,8.54588030,8.050,3.128,-6.388,8.050,6.375,72.0,LOITER,active,1,1,46,,-43.818,-49.895,,76.182,70.105,,received,received
1788859743.492,7.2,2,47.39791260,8.54616330,12.791,-5.953,-0.006,12.791,5.626,74.0,LOITER,active,1,1,46,-43.818,,-43.554,76.182,,76.446,received,,received
1788859743.492,7.2,3,47.39800160,8.54643590,16.597,3.457,5.561,16.540,6.122,74.0,LOITER,active,1,1,46,-49.895,-43.554,,70.105,76.446,,received,received,
1788859744.532,8.3,1,47.39800990,8.54584710,8.064,4.353,-8.888,8.064,7.520,71.0,LOITER,active,1,1,53,,-45.242,-50.956,,74.758,69.044,,received,received
1788859744.532,8.3,2,47.39788950,8.54616220,12.831,-8.433,-0.094,12.831,6.735,72.0,LOITER,active,1,1,53,-45.242,,-45.138,74.758,,74.862,dropped,,dropped
1788859744.532,8.3,3,47.39801150,8.54646820,16.707,4.566,8.007,16.649,7.270,73.0,LOITER,active,1,1,53,-50.956,-45.138,,69.044,74.862,,received,received,
1788859745.578,9.3,1,47.39802220,8.54580830,8.077,5.721,-11.810,8.077,8.684,71.0,LOITER,active,1,1,59,,-46.890,-52.141,,73.110,67.859,,received,received
1788859745.578,9.3,2,47.39786240,8.54616160,12.861,-12.176,-0.152,12.798,8.136,72.0,LOITER,active,1,1,59,-46.890,,-46.776,73.110,,73.224,received,,received
1788859745.578,9.3,3,47.39802620,8.54651600,16.837,6.200,11.612,16.779,8.738,73.0,LOITER,active,1,1,59,-52.141,-46.776,,67.859,73.224,,received,received,
1788859746.637,10.4,1,47.39804010,8.54575150,8.090,7.711,-16.083,8.090,10.174,71.0,LOITER,active,1,1,65,,-48.568,-53.380,,71.432,66.620,,received,received
1788859746.637,10.4,2,47.39783150,8.54616160,12.890,-15.629,-0.150,12.828,9.222,71.0,LOITER,active,1,1,65,-48.568,,-48.497,71.432,,71.503,received,,received
