time,target_id,x,y,z,yaw
1788859920.693,target_1,-980.000,-520.000,0.750,0.359
1788859921.808,target_1,-971.654,-516.870,0.750,0.359
1788859922.913,target_1,-963.376,-513.766,0.750,0.359
1788859924.065,target_1,-954.745,-510.530,0.750,0.359
1788859925.229,target_1,-946.023,-507.259,0.750,0.359
1788859926.365,target_1,-937.515,-504.068,0.750,0.359
1788859927.452,target_1,-929.371,-501.014,0.750,0.359
1788859928.555,target_1,-921.109,-497.916,0.750,0.359
1788859929.617,target_1,-913.154,-494.933,0.750,0.359
1788859930.625,target_1,-905.606,-492.102,0.750,0.359
1788859931.659,target_1,-897.862,-489.198,0.750,0.359
1788859932.678,target_1,-890.227,-486.335,0.750,0.359
1788859933.706,target_1,-882.530,-483.449,0.750,0.359
1788859934.730,target_1,-874.859,-480.572,0.750,0.359
1788859936.183,target_1,-863.974,-476.490,0.750,0.359
1788859937.286,target_1,-855.711,-473.392,0.750,0.359
1788859938.422,target_1,-847.201,-470.200,0.750,0.359
1788859939.585,target_1,-838.487,-466.933,0.750,0.359
1788859940.720,target_1,-829.989,-463.746,0.750,0.359
1788859941.786,target_1,-822.003,-460.751,0.750,0.359
1788859942.840,target_1,-814.106,-457.790,0.750,0.359
1788859943.912,target_1,-806.080,-454.780,0.750,0.359
1788859944.969,target_1,-798.156,-451.809,0.750,0.359
1788859946.034,target_1,-790.181,-448.818,0.750,0.359
1788859947.079,target_1,-782.356,-445.883,0.750,0.359
1788859948.145,target_1,-774.368,-442.888,0.750,0.359
1788859949.174,target_1,-766.663,-439.999,0.750,0.359
1788859950.221,target_1,-758.823,-437.058,0.750,0.359
1788859951.275,target_1,-750.926,-434.097,0.750,0.359
1788859952.305,target_1,-743.208,-431.203,0.750,0.359
1788859953.327,target_1,-735.357,-428.991,0.750,0.214
1788859954.356,target_1,-727.314,-427.242,0.750,0.214
1788859955.379,target_1,-719.316,-425.503,0.750,0.214
1788859956.408,target_1,-711.270,-423.754,0.750,0.214
1788859957.444,target_1,-703.178,-421.995,0.750,0.214
1788859958.511,target_1,-694.837,-420.182,0.750,0.214
1788859959.559,target_1,-686.639,-418.400,0.750,0.214
1788859960.590,target_1,-678.579,-416.648,0.750,0.214
1788859961.627,target_1,-670.473,-414.885,0.750,0.214
1788859962.661,target_1,-662.389,-413.128,0.750,0.214
1788859963.719,target_1,-654.119,-411.330,0.750,0.214
1788859964.758,target_1,-645.999,-409.565,0.750,0.214
1788859965.771,target_1,-638.080,-407.844,0.750,0.214
1788859966.796,target_1,-630.063,-406.101,0.750,0.214
1788859967.826,target_1,-622.011,-404.350,0.750,0.214
1788859968.887,target_1,-613.717,-402.547,0.750,0.214
1788859969.930,target_1,-605.566,-400.775,0.750,0.214
1788859970.954,target_1,-597.560,-399.035,0.750,0.214
1788859971.978,target_1,-589.560,-397.296,0.750,0.214
1788859973.029,target_1,-581.337,-395.508,0.750,0.214
1788859974.168,target_1,-572.434,-393.573,0.750,0.214
1788859975.195,target_1,-564.410,-391.828,0.750,0.214
1788859976.216,target_1,-556.430,-390.093,0.750,0.214
1788859977.228,target_1,-548.517,-388.373,0.750,0.214
1788859978.263,target_1,-540.426,-386.614,0.750,0.214
1788859979.304,target_1,-532.285,-384.845,0.750,0.214
1788859980.386,target_1,-523.829,-383.006,0.750,0.214
1788859981.889,target_1,-512.082,-380.453,0.750,0.214
1788859983.038,target_1,-503.681,-376.841,0.750,0.464
1788859984.478,target_1,-493.378,-371.689,0.750,0.464
1788859985.495,target_1,-486.099,-368.050,0.750,0.464
1788859986.511,target_1,-478.827,-364.414,0.750,0.464
1788859987.524,target_1,-471.583,-360.792,0.750,0.464
1788859988.551,target_1,-464.230,-357.115,0.750,0.464
1788859989.585,target_1,-456.831,-353.415,0.750,0.464
1788859990.693,target_1,-448.904,-349.452,0.750,0.464
1788859991.739,target_1,-441.419,-345.709,0.750,0.464
1788859992.779,target_1,-433.979,-341.990,0.750,0.464
1788859993.847,target_1,-426.337,-338.168,0.750,0.464
1788859994.917,target_1,-418.685,-334.342,0.750,0.464
1788859996.390,target_1,-408.139,-329.070,0.750,0.464
1788859997.555,target_1,-399.807,-324.904,0.750,0.464
1788859998.712,target_1,-391.529,-320.764,0.750,0.464
1788859999.752,target_1,-384.084,-317.042,0.750,0.464
1788860000.789,target_1,-376.662,-313.331,0.750,0.464
1788860001.833,target_1,-369.194,-309.597,0.750,0.464
1788860002.882,target_1,-361.689,-305.844,0.750,0.464
1788860003.954,target_1,-354.020,-302.010,0.750,0.464
1788860005.011,target_1,-346.451,-298.226,0.750,0.464
1788860006.050,target_1,-339.021,-294.511,0.750,0.464
1788860007.096,target_1,-331.538,-290.769,0.750,0.464
1788860008.139,target_1,-324.075,-287.037,0.750,0.464
1788860009.190,target_1,-316.553,-283.277,0.750,0.464
1788860010.220,target_1,-309.185,-279.592,0.750,0.464
