timestamp,elapsed_s,drone_id,latitude,longitude,altitude_m,x_m,y_m,z_m,velocity_m_s,battery_percent,mode,status,armed,peer_positions_sent,recent_lora_packets,rssi_to_drone1_dbm,rssi_to_drone2_dbm,rssi_to_drone3_dbm,snr_to_drone1_db,snr_to_drone2_db,snr_to_drone3_db,link_status_to_drone1,link_status_to_drone2,link_status_to_drone3
1788859977.807,0.2,1,47.39797090,8.54596550,7.936,0.035,0.030,7.936,0.041,76.0,LOITER,active,1,1,0,,,,,,,,,
1788859977.807,0.2,2,47.39797120,8.54616390,12.204,0.055,0.002,12.204,0.424,79.0,TAKEOFF,active,1,1,0,,,,,,,,,
1788859977.807,0.2,3,47.39797100,8.54636220,15.055,0.027,-0.024,15.042,1.434,79.0,TAKEOFF,active,1,1,0,,,,,,,,,
1788859978.682,1.1,1,47.39797100,8.54596530,7.952,0.048,0.015,7.952,0.143,76.0,LOITER,active,1,1,8,,-39.694,-46.672,,80.306,73.328,,received,received
1788859978.682,1.1,2,47.39797120,8.54616370,12.354,0.047,-0.012,12.306,0.358,77.0,TAKEOFF,active,1,1,8,-39.694,,-39.516,80.306,,80.484,received,,dropped
1788859978.682,1.1,3,47.39797090,8.54636250,15.550,0.021,-0.001,15.533,1.186,79.0,LOITER,active,1,1,8,-46.672,-39.516,,73.328,80.484,,received,received,
1788859979.740,2.1,1,47.39797240,8.54596300,7.986,0.196,-0.154,7.986,0.969,76.0,LOITER,active,1,1,16,,-39.761,-46.761,,80.239,73.239,,dropped,received
1788859979.740,2.1,2,47.39796950,8.54616360,12.515,-0.126,-0.020,12.515,0.834,77.0,TAKEOFF,active,1,1,16,-39.761,,-39.621,80.239,,80.379,received,,received
1788859979.740,2.1,3,47.39797160,8.54636390,15.944,0.111,0.108,15.922,1.092,79.0,LOITER,active,1,1,16,-46.761,-39.621,,73.239,80.379,,received,received,
1788859980.754,3.1,1,47.39797470,8.54595740,8.009,0.446,-0.567,8.009,1.946,75.0,LOITER,active,1,1,22,,-40.085,-47.026,,79.915,72.974,,received,received
1788859980.754,3.1,2,47.39796580,8.54616370,12.599,-0.533,-0.016,12.599,1.684,75.0,LOITER,active,1,1,22,-40.085,,-39.855,79.915,,80.145,received,,received
1788859980.754,3.1,3,47.39797380,8.54636740,16.146,0.366,0.385,16.119,1.659,76.0,LOITER,active,1,1,22,-47.026,-39.855,,72.974,80.145,,received,received,
1788859981.800,4.2,1,47.39797870,8.54594300,8.020,0.891,-1.639,8.020,3.317,75.0,LOITER,active,1,1,30,,-40.318,-47.186,,79.682,72.814,,received,received
1788859981.800,4.2,2,47.39795650,8.54616410,12.664,-1.555,0.015,12.664,2.957,75.0,LOITER,active,1,1,30,-40.318,,-39.972,79.682,,80.028,received,,received
1788859981.800,4.2,3,47.39797930,8.54637740,16.276,0.983,1.159,16.246,3.003,75.0,LOITER,active,1,1,30,-47.186,-39.972,,72.814,80.028,,received,dropped,
1788859982.828,5.2,1,47.39798450,8.54592260,8.026,1.537,-3.168,8.026,4.546,73.0,LOITER,active,1,1,36,,-41.525,-48.134,,78.475,71.866,,received,received
1788859982.828,5.2,2,47.39794300,8.54616410,12.698,-3.046,0.021,12.698,4.077,75.0,LOITER,active,1,1,36,-41.525,,-41.067,78.475,,78.933,received,,received
1788859982.828,5.2,3,47.39798700,8.54639440,16.403,1.846,2.459,16.373,4.325,75.0,LOITER,active,1,1,36,-48.134,-41.067,,71.866,78.933,,received,received,
1788859983.859,6.2,1,47.39798840,8.54591070,8.034,1.967,-4.062,8.034,5.115,73.0,LOITER,active,1,1,42,,-42.504,-48.925,,77.496,71.075,,received,received
1788859983.859,6.2,2,47.39793490,8.54616380,12.711,-3.942,-0.001,12.711,4.613,74.0,LOITER,active,1,1,42,-42.504,,-42.181,77.496,,77.819,received,,received
1788859983.859,6.2,3,47.39799330,8.54641100,16.494,2.554,3.719,16.464,5.141,74.0,LOITER,active,1,1,42,-48.925,-42.181,,71.075,77.819,,received,received,
1788859984.888,7.3,1,47.39800040,8.54587550,8.062,3.297,-6.701,8.062,6.528,73.0,LOITER,active,1,1,50,,-43.642,-49.754,,76.358,70.246,,dropped,received
1788859984.888,7.3,2,47.39791610,8.54616290,12.751,-6.639,-0.093,12.683,5.974,74.0,LOITER,active,1,1,50,-43.642,,-43.345,76.358,,76.655,received,,received
1788859984.888,7.3,3,47.39800250,8.54643820,16.615,3.573,5.784,16.585,6.243,74.0,LOITER,active,1,1,50,-49.754,-43.345,,70.246,76.655,,received,received,
1788859985.930,8.3,1,47.39801150,8.54584160,8.077,4.527,-9.244,8.077,7.667,71.0,LOITER,active,1,1,56,,-45.271,-50.984,,74.729,69.016,,received,received
1788859985.930,8.3,2,47.39788700,8.54616190,12.813,-9.249,-0.147,12.813,7.076,72.0,LOITER,active,1,1,56,-45.271,,-45.147,74.729,,74.853,received,,received
1788859985.930,8.3,3,47.39801560,8.54648050,16.745,5.043,8.988,16.714,7.704,73.0,LOITER,active,1,1,56,-50.984,-45.147,,69.016,74.853,,received,received,
1788859986.972,9.3,1,47.39802710,8.54579150,8.096,6.253,-13.001,8.096,9.129,71.0,LOITER,active,1,1,62,,-47.187,-52.334,,72.813,67.666,,received,received
1788859986.972,9.3,2,47.39785240,8.54616180,12.860,-13.085,-0.153,12.860,8.429,72.0,LOITER,active,1,1,62,-47.187,,-47.029,72.813,,72.971,received,,received
1788859986.972,9.3,3,47.39802780,8.54652030,16.840,6.408,12.005,16.809,8.890,72.0,LOITER,active,1,1,62,-52.334,-47.029,,67.666,72.971,,received,received,
1788859988.012,10.4,1,47.39804170,8.54574480,8.104,7.878,-16.511,8.104,10.324,69.0,LOITER,active,1,1,69,,-48.968,-53.678,,71.032,66.322,,received,received
1788859988.012,10.4,2,47.39782020,8.54616220,12.894,-16.655,-0.126,12.894,9.521,72.0,LOITER,active,1,1,69,-48.968,,-48.886,71.032,,71.114,dropped,,dropped
1788859988.012,10.4,3,47.39804550,8.54657750,16.954,7.981,15.443,16.954,10.105,72.0,LOITER,active,1,1,69,-53.678,-48.886,,66.322,71.114,,received,received,
1788859989.060,11.4,1,47.39805870,8.54569300,8.087,10.294,-21.459,8.028,11.579,70.0,LOITER,active,1,1,75,,-50.719,-54.947,,69.281,65.053,,received,received
1788859989.060,11.4,2,47.39778420,8.54616270,12.919,-20.657,-0.088,12.919,10.615,70.0,LOITER,active,1,1,75,-50.719,,-50.574,69.281,,69.426,received,,received
1788859989.060,11.4,3,47.39806190,8.54662970,17.021,10.222,20.274,16.989,11.440,71.0,LOITER,active,1,1,75,-54.947,-50.574,,65.053,69.426,,received,received,
1788859990.104,12.5,1,47.39808310,8.54562460,8.037,12.473,-25.549,8.037,11.834,70.0,LOITER,active,1,1,81,,-52.235,-56.114,,67.765,63.886,,received,received
