timestamp,sender,receiver,sender_x,sender_y,sender_z,receiver_x,receiver_y,receiver_z,distance,RSSI,SNR,LOS,building_obstacles,terrain_blocked,packet_status,drop_reason,latency_ms,packet_id,source,destination,hop_count,TTL
1788859434.727,1,2,-15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,395.644,fc4a97bd-65fb-44fb-9b88-ac92106e4222,1,2,0,3
1788859434.728,1,3,-15.000,-0.000,-0.013,15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,399.608,7df1fded-4f0d-451a-a210-bdc6656b684a,1,3,0,3
1788859434.728,2,1,-0.000,-0.000,-0.013,-15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,408.678,86d30281-a87e-43ea-95a0-5842aa8a2088,2,1,0,3
1788859434.729,2,3,-0.000,-0.000,-0.013,15.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,396.883,b90877da-5e1a-47d9-82de-4ec7a0bd6e14,2,3,0,3
1788859434.729,3,1,15.000,-0.000,-0.013,-15.000,-0.000,-0.013,30.000,-46.391,73.609,1,,0,received,,395.740,bbc56fd1-eee7-47e8-a20a-7a26156f2fb6,3,1,0,3
1788859434.729,3,2,15.000,-0.000,-0.013,-0.000,-0.000,-0.013,15.000,-39.317,80.683,1,,0,received,,405.251,8d1fe00c-1f4e-497f-a1b0-e93ca229f9f4,3,2,0,3
1788859435.781,1,2,-14.960,-0.006,-0.011,-0.003,-0.006,-0.004,14.957,-39.288,80.712,1,,0,received,,399.121,5de9c718-2f55-41e6-a078-58816cfed15e,1,2,0,3
1788859435.782,1,3,-14.960,-0.006,-0.011,14.977,-0.040,-0.061,29.938,-46.370,73.630,1,,0,received,,406.043,3766c51d-4721-41c6-9447-f1694d507585,1,3,0,3
1788859435.782,2,1,-0.003,-0.006,-0.004,-14.960,-0.006,-0.011,14.957,-39.288,80.712,1,,0,received,,406.929,95778b28-e049-4a1c-b849-e9312aadb3ce,2,1,0,3
1788859435.782,2,3,-0.003,-0.006,-0.004,14.977,-0.040,-0.061,14.980,-39.303,80.697,1,,0,received,,395.274,989475f6-658e-4adc-b8a1-c153053b0c16,2,3,0,3
1788859435.782,3,1,14.977,-0.040,-0.061,-14.960,-0.006,-0.011,29.938,-46.370,73.630,1,,0,received,,409.107,64f73034-e7e0-4811-86cb-cb20b76f1a29,3,1,0,3
1788859435.782,3,2,14.977,-0.040,-0.061,-0.003,-0.006,-0.004,14.980,-39.303,80.697,1,,0,received,,398.254,a6e9284e-0a05-44a9-a997-6f9a4bf3433d,3,2,0,3
1788859436.834,1,2,-14.976,0.005,-0.002,-0.003,-0.006,-0.004,14.973,-39.298,80.702,1,,0,dropped,channel_loss,401.876,891fe1a8-6c93-42d3-9c2a-3f48258ecfb4,1,2,0,3
1788859436.834,1,3,-14.976,0.005,-0.002,14.977,-0.029,-0.047,29.953,-46.375,73.625,1,,0,received,,397.078,891fe1a8-6c93-42d3-9c2a-3f48258ecfb4,1,2,1,2
1788859436.834,3,2,14.977,-0.029,-0.047,-0.003,-0.006,-0.004,14.980,-39.303,80.697,1,,0,received,,407.219,891fe1a8-6c93-42d3-9c2a-3f48258ecfb4,1,2,2,1
1788859436.834,1,3,-14.976,0.005,-0.002,14.977,-0.029,-0.047,29.953,-46.375,73.625,1,,0,received,,409.739,f15d9b84-0295-4759-ae11-42d4e70edabf,1,3,0,3
1788859436.834,2,1,-0.003,-0.006,-0.004,-14.976,0.005,-0.002,14.973,-39.298,80.702,1,,0,received,,414.606,02210fa1-c885-405d-8866-bb5a133f4528,2,1,0,3
1788859436.834,2,3,-0.003,-0.006,-0.004,14.977,-0.029,-0.047,14.980,-39.303,80.697,1,,0,received,,406.185,833f5153-264c-47b2-9c65-9d62eb57e84b,2,3,0,3
