time,source,destination,rssi_dbm,snr_db,packet_received,pdr,latency_ms,drop_reason,condition
1788859435.781,1,2,-39.288,80.712,1,1.000,399.121,,NORMAL
1788859435.782,1,3,-46.370,73.630,1,1.000,406.043,,NORMAL
1788859435.782,2,1,-39.288,80.712,1,1.000,406.929,,NORMAL
1788859435.782,2,3,-39.303,80.697,1,1.000,395.274,,NORMAL
1788859435.782,3,1,-46.370,73.630,1,1.000,409.107,,NORMAL
1788859435.782,3,2,-39.303,80.697,1,1.000,398.254,,NORMAL
1788859436.834,1,2,-39.298,80.702,0,0.500,401.876,channel_loss,DEGRADED
1788859436.834,1,3,-46.375,73.625,1,1.000,397.078,,NORMAL
1788859436.834,3,2,-39.303,80.697,1,1.000,407.219,,NORMAL
1788859436.834,1,3,-46.375,73.625,1,1.000,409.739,,NORMAL
1788859436.834,2,1,-39.298,80.702,1,1.000,414.606,,NORMAL
1788859436.834,2,3,-39.303,80.697,1,1.000,406.185,,NORMAL
1788859436.835,3,1,-46.375,73.625,1,1.000,407.514,,NORMAL
1788859436.835,3,2,-39.303,80.697,1,1.000,406.691,,NORMAL
1788859437.882,1,2,-39.303,80.697,1,0.667,396.061,,DEGRADED
1788859437.882,1,3,-46.377,73.623,1,1.000,400.932,,NORMAL
1788859437.882,2,1,-39.303,80.697,1,1.000,399.800,,NORMAL
1788859437.882,2,3,-39.303,80.697,1,1.000,400.704,,NORMAL
1788859437.882,3,1,-46.377,73.623,1,1.000,402.441,,NORMAL
1788859437.883,3,2,-39.303,80.697,1,1.000,399.334,,NORMAL
1788859438.906,1,2,-39.303,80.697,1,0.750,413.877,,DEGRADED
1788859438.906,1,3,-46.377,73.623,1,1.000,407.327,,NORMAL
1788859438.906,2,1,-39.303,80.697,1,1.000,409.727,,NORMAL
1788859438.906,2,3,-39.303,80.697,1,1.000,402.733,,NORMAL
1788859438.906,3,1,-46.377,73.623,0,0.750,407.944,channel_loss,DEGRADED
1788859438.907,3,2,-39.303,80.697,1,1.000,408.836,,NORMAL
1788859438.907,2,1,-39.303,80.697,1,1.000,410.664,,NORMAL
1788859438.907,3,2,-39.303,80.697,1,1.000,395.786,,NORMAL
1788859439.921,1,2,-39.308,80.692,1,0.800,400.499,,DEGRADED
1788859439.922,1,3,-46.375,73.625,1,1.000,414.002,,NORMAL
1788859439.922,2,1,-39.308,80.692,1,1.000,401.438,,NORMAL
1788859439.922,2,3,-39.293,80.707,1,1.000,403.057,,NORMAL
1788859439.922,3,1,-46.375,73.625,1,0.800,404.321,,DEGRADED
1788859439.922,3,2,-39.293,80.707,1,1.000,400.077,,NORMAL
1788859440.952,1,2,-39.303,80.697,1,0.800,400.399,,DEGRADED
1788859440.953,1,3,-46.372,73.628,1,1.000,413.101,,NORMAL
1788859440.953,2,1,-39.303,80.697,1,1.000,399.530,,NORMAL
1788859440.953,2,3,-39.293,80.707,0,0.800,405.335,channel_loss,DEGRADED
1788859440.953,2,1,-39.303,80.697,1,1.000,396.086,,NORMAL
1788859440.953,1,3,-46.372,73.628,1,1.000,407.693,,NORMAL
1788859440.953,3,1,-46.372,73.628,1,0.800,403.587,,DEGRADED
1788859440.953,3,2,-39.293,80.707,1,1.000,402.776,,NORMAL
1788859441.962,1,2,-39.303,80.697,0,0.800,405.726,channel_loss,DEGRADED
1788859441.962,1,3,-46.372,73.628,0,0.833,412.360,channel_loss,DEGRADED
1788859441.963,1,3,-46.372,73.628,1,0.857,409.559,,NORMAL
1788859441.963,2,1,-39.303,80.697,1,1.000,405.883,,NORMAL
1788859441.963,2,3,-39.293,80.707,1,0.800,407.963,,DEGRADED
1788859441.963,3,1,-46.372,73.628,1,0.800,403.839,,DEGRADED
1788859441.963,3,2,-39.293,80.707,1,1.000,414.220,,NORMAL
1788859443.912,1,2,-39.317,80.683,1,0.800,400.412,,DEGRADED
1788859443.913,1,3,-46.391,73.609,1,0.857,398.717,,NORMAL
1788859443.914,2,1,-39.317,80.683,1,1.000,412.554,,NORMAL
1788859443.915,2,3,-39.317,80.683,1,0.800,407.923,,DEGRADED
1788859443.916,3,1,-46.391,73.609,1,0.800,398.201,,DEGRADED
1788859443.916,3,2,-39.317,80.683,1,1.000,405.932,,NORMAL
1788859444.955,1,2,-39.303,80.697,1,0.800,405.751,,DEGRADED
1788859444.956,1,3,-46.372,73.628,1,0.857,401.627,,NORMAL
1788859444.956,2,1,-39.303,80.697,1,1.000,413.726,,NORMAL
1788859444.956,2,3,-39.293,80.707,1,0.800,411.777,,DEGRADED
1788859444.956,3,1,-46.372,73.628,1,1.000,396.303,,NORMAL
1788859444.956,3,2,-39.293,80.707,1,1.000,414.083,,NORMAL
1788859445.974,1,2,-39.303,80.697,1,0.800,404.864,,DEGRADED
1788859445.974,1,3,-46.375,73.625,1,0.857,410.356,,NORMAL
1788859445.975,2,1,-39.303,80.697,1,1.000,397.712,,NORMAL
1788859445.975,2,3,-39.298,80.702,1,0.800,406.140,,DEGRADED
1788859445.975,3,1,-46.375,73.625,1,1.000,412.593,,NORMAL
1788859445.975,3,2,-39.298,80.702,1,1.000,399.380,,NORMAL
