distance,rssi,snr,pdr,latency_ms,packet_loss
100,-58.67842188132898,61.32157811867102,0.9,403.87211630990305,0.09999999999999998
250,-68.03001208512185,51.969987914878146,0.92,405.31019528560705,0.07999999999999996
500,-75.10421698322541,44.89578301677459,0.92,405.9013416730184,0.07999999999999996
1000,-82.17842188132897,37.82157811867103,0.8,405.6565046434551,0.19999999999999996
1500,-86.31656646913748,33.683433530862516,0.88,404.7702131317146,0.12
2000,-89.25262677943255,30.747373220567468,0.78,405.53942731240767,0.21999999999999997
3000,-93.39077136724104,26.609228632758956,0.54,403.84360836659414,0.45999999999999996
4000,-96.32683167753608,23.67316832246391,0.3,406.11960481868005,0.7
5000,-98.60421698322541,21.395783016774587,0.1,406.0410590339346,0.9
